Rig,MAC (NIC-1) enp031f6,MAC (NIC-2) enp2s0,IP,PDU IP,PDU Port #,Rig In place?,Ram,Bios,Nvme,Pdu Port set,Partition,Commisioned,Deployed,RunPod,VastAi,Port Forward,Port Range,Tower Number,Dell (Service Tag)  /  HP (Serial Number),Status,GPU Numbers,,,,Notes,2023DecStatus
A01111,74:86:e2:13:87:1d,74:86:e2:13:86:83,10.10.11.11,10.10.200.11,11,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,20201-20220,TR-1611,75JJWM3,,,,,,,
A01112,74:86:e2:13:88:a2,74:86:e2:13:87:ff,10.10.11.12,10.10.200.11,42,,,,,,,,,,,,20221-20240,TR-,47JJWM3,,,,,,new,
A01113,74:86:e2:13:89:b0,74:86:e2:13:89:07,10.10.11.13,10.10.200.11,13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,20241-20260,TR-1613,J7JJWM3,,,,,,,
A01114,74:86:e2:13:8a:97,74:86:e2:13:89:52,10.10.11.14,10.10.200.11,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,20261-20280,TR-1614,F7JJWM3,,,,,,,
A01115,74:86:e2:13:b2:21,74:86:e2:13:b1:54,10.10.11.15,10.10.200.11,15,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,20281-20300,TR-1615,BWHJWM3,,,,,,,
A01116,74:86:e2:13:8b:63,74:86:e2:13:89:f7,10.10.11.16,10.10.200.11,46,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,20301-20320,TR-1621,JYHJWM3,,,,,,,
A01117,74:86:e2:13:b2:af,74:86:e2:13:b0:e1,10.10.11.17,10.10.200.11,17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,20321-20340,TR-1622,6VHJWM3,,,,,,,
A01118,74:86:e2:13:62:47,74:86:e2:13:61:74,10.10.11.18,10.10.200.11,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,20341-20360,TR-1623,BXHJWM3,,,,,,,
A01119,74:86:e2:13:62:f3,74:86:e2:13:62:87,10.10.11.19,10.10.200.11,19,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,20361-20380,TR-1624,F5JJWM3,,,,,,,
A01120,74:86:e2:13:b2:1e,74:86:e2:13:b0:8a,10.10.11.20,10.10.200.11,30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,20381-20400,TR-1625,8THJWM3,,,,,,,
A01201,74:86:e2:13:af:3c,74:86:e2:13:ae:9a,10.10.12.1,10.10.200.12,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,20401-20420,TR-1600,1VHJWM3,,,,,,,
A01202,74:86:e2:13:b1:11,74:86:e2:13:b0:26,10.10.12.2,10.10.200.12,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,20421-20440,TR-1599,6WHJWM3,,,,,,,
A01203,74:86:e2:13:b2:80,74:86:e2:13:b1:9a,10.10.12.3,10.10.200.12,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,20441-20460,TR-1598,3VHJWM3,,,,,,,
A01204,74:86:e2:13:61:df,74:86:e2:13:61:6c,10.10.12.4,10.10.200.12,34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,20461-20480,TR-1597,9YHJWM3,,,,,,,
A01205,74:86:e2:13:b3:a7,74:86:e2:13:b2:cb,10.10.12.5,10.10.200.12,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,20481-20500,TR-1596,7WHJWM3,,,,,,,
A01206,74:86:e2:13:8a:8f,74:86:e2:13:88:cb,10.10.12.6,10.10.200.12,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,20501-20520,TR-1631,G7JJWM3,,,,,,,
A01207,74:86:e2:13:b2:90,74:86:e2:13:b1:ea,10.10.12.7,10.10.200.12,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,20521-20540,TR-1632,CTHJWM3,,,,,,,
A01208,74:86:e2:13:b3:7f,74:86:e2:13:b2:81,10.10.12.8,10.10.200.12,38,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,20541-20560,TR-1633,3SHJWM3,,,,,,,
A01209,74:86:e2:13:b2:0d,74:86:e2:13:b1:7f,10.10.12.9,10.10.200.12,9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,20561-20580,TR-1634,HVHJWM3,,,,,,,
A01210,74:86:e2:13:b3:85,74:86:e2:13:b2:91,10.10.12.10,10.10.200.12,10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,20581-20600,TR-1635,2SHJWM3,,,,,,,
A01211,74:86:e2:13:b4:57,74:86:e2:13:b0:ca,10.10.12.11,10.10.200.12,11,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,20601-20620,TR-1605,95JJWM3,,,,,,,Cant deploy machine (node stuck in 'powering on mode' and fails deployment due to timeout error: logs say 'installation aborted'
A01212,74:86:e2:15:12:b1,74:86:e2:15:10:7c,10.10.12.12,10.10.200.12,42,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,20621-20640,TR-1604,9X0GWM3,,,,,,Only 3 GPU's Connected,
A01213,74:86:e2:13:8b:38,74:86:e2:13:8a:69,10.10.12.13,10.10.200.12,13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,20641-20660,TR-1603,FYHJWM3,,,,,,,
A01214,74:86:e2:13:b2:1c,74:86:e2:13:b1:78,10.10.12.14,10.10.200.12,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,20661-20680,TR-1602,GVHJWM3,,,,,,,
A01215,74:86:e2:13:b2:14,74:86:e2:13:b1:58,10.10.12.15,10.10.200.12,15,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,20681-20700,TR-1601,FVHJWM3,,,,,,,
A01216,74:86:e2:13:b2:ee,74:86:e2:13:b2:39,10.10.12.16,10.10.200.12,46,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,20701-20720,TR-1626,3XHJWM3,,,,,,,
A01217,74:86:e2:13:91:15,74:86:e2:13:8e:d4,10.10.12.17,10.10.200.12,17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,20721-20740,TR-1627,1XHJWM3,,,,,,,
A01218,74:86:e2:13:91:0c,74:86:e2:13:8d:bb,10.10.12.18,10.10.200.12,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,20741-20760,TR-1628,F6JJWM3,,,,,,,
A01219,74:86:e2:13:b3:8e,74:86:e2:13:b2:8c,10.10.12.19,10.10.200.12,19,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,20761-20780,TR-1629,JWHJWM3,,,,,,-,
A01220,74:86:e2:13:b3:07,74:86:e2:13:b1:3f,10.10.12.20,10.10.200.12,30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,20781-20800,TR-1630,9THJWM3,,,,,,,
A01301,74:86:e2:13:b1:10,74:86:e2:13:b0:67,10.10.13.1,10.10.200.13,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,20801-20820,TR-1590,DVHJWM3,,,,,,,
A01302,74:86:e2:13:62:3b,74:86:e2:13:61:bb,10.10.13.2,10.10.200.13,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,20821-20840,TR-1589,1SHJWM3,,,,,,,
A01303,74:86:e2:13:b2:19,74:86:e2:13:b1:87,10.10.13.3,10.10.200.13,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,20841-20860,TR-1588,BTHJWM3,,,,,,,
A01304,74:86:e2:13:b2:6b,74:86:e2:13:b1:c0,10.10.13.4,10.10.200.13,34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,20861-20880,TR-1587,8WHJWM3,,,,,,,
A01305,74:86:e2:13:b1:d6,74:86:e2:13:b1:24,10.10.13.5,10.10.200.13,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,20881-20900,TR-1586,6THJWM3,,,,,,,
A01306,74:86:e2:13:62:0c,74:86:e2:13:61:af,10.10.13.6,10.10.200.13,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,20901-20920,TR-1641,8XHJWM3,,,,,,Need to Troubleshoot or redeploy,
A01307,74:86:e2:13:b3:5f,74:86:e2:13:b1:f3,10.10.13.7,10.10.200.13,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,20921-20940,TR-1642,4SHJWM3,Sent to Dell Depo,GP-7788,GP-7789,GP-7790,GP-7791,Power Supply Broken,
A01308,74:86:e2:13:91:e5,74:86:e2:13:91:27,10.10.13.8,10.10.200.13,38,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,20941-20960,TR-1643,FXHJWM3,,,,,,,
A01309,74:86:e2:13:61:ee,74:86:e2:13:61:5e,10.10.13.9,10.10.200.13,9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,20961-20980,TR-1644,CXHJWM3,,,,,,,
A01310,74:86:e2:13:b2:cd,74:86:e2:13:b0:c1,10.10.13.10,10.10.200.13,10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,20981-21000,TR-1645,2XHJWM3,,,,,,,
A01311,74:86:e2:13:62:f0,74:86:e2:13:60:33,10.10.13.11,10.10.200.13,11,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,21001-21020,TR-1636,DXHJWM3,,,,,,,
A01312,74:86:e2:13:b3:34,74:86:e2:13:b1:2f,10.10.13.12,10.10.200.13,42,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,21021-21040,TR-1637,4XHJWM3,,,,,,,
A01313,74:86:e2:13:b1:aa,74:86:e2:13:b0:ec,10.10.13.13,10.10.200.13,13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,21041-21060,TR-1638,JRHJWM3,,,,,,,
A01314,74:86:e2:13:b2:5e,74:86:e2:13:b1:1a,10.10.13.14,10.10.200.13,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,21061-21080,TR-1639,6XHJWM3,,,,,,,
A01315,74:86:e2:15:03:1c,74:86:e2:14:ff:27,10.10.13.15,10.10.200.13,15,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,21081-21100,TR-1640,BSHJWM3,,,,,,,
A01316,74:86:e2:13:b1:b0,74:86:e2:13:b0:d3,10.10.13.16,10.10.200.13,46,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,21101-21120,TR-1591,2WHJWM3,,,,,,,
A01317,74:86:e2:13:b1:d0,74:86:e2:13:b0:a4,10.10.13.17,10.10.200.13,17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,21121-21140,TR-1592,3WHJWM3,,,,,,,
A01318,74:86:e2:13:b1:3c,74:86:e2:13:b0:90,10.10.13.18,10.10.200.13,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,21141-21160,TR-1593,8VHJWM3,,,,,,,
A01319,74:86:e2:13:b0:f8,74:86:e2:13:b0:4f,10.10.13.19,10.10.200.13,19,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,21161-21180,TR-1594,5WHJWM3,,,,,,,
A01320,74:86:e2:13:b1:fa,74:86:e2:13:b1:6a,10.10.13.20,10.10.200.13,30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,21181-21200,TR-1595,HTHJWM3,,,,,,,
A01401,74:86:e2:13:b4:f4,74:86:e2:13:63:dd,10.10.14.1,10.10.200.14,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,21201-21220,TR-1580,36JJWM3,,,,,,,
A01402,74:86:e2:13:b4:96,74:86:e2:13:b2:a6,10.10.14.2,10.10.200.14,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,21221-21240,TR-1579,46JJWM3,,,,,,,
A01403,74:86:e2:13:88:89,74:86:e2:13:87:cd,10.10.14.3,10.10.200.14,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,21241-21260,TR-1578,B7JJWM3,,,,,,,
A01404,74:86:e2:13:88:aa,74:86:e2:13:88:12,10.10.14.4,10.10.200.14,34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,21261-21280,TR-1577,97JJWM3,,,,,,,
A01405,74:86:e2:13:88:6e,74:86:e2:13:87:9b,10.10.14.5,10.10.200.14,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,21281-21300,TR-1576,87JJWM3,,,,,,,
A01406,,74:86:e2:13:9b:7c,10.10.14.6,10.10.200.14,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,21301-21320,TR-1651,3TV8WM3,,,,,,,
A01407,74:86:e2:13:87:8e,74:86:e2:13:86:5d,10.10.14.7,10.10.200.14,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,21321-21340,TR-1652,48JJWM3,,,,,,,
A01408,74:86:e2:13:b2:20,74:86:e2:13:b1:61,10.10.14.8,10.10.200.14,38,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,21341-21360,TR-1653,4VHJWM3,,,,,,,
A01409,74:86:e2:13:b3:e9,74:86:e2:13:b2:e0,10.10.14.9,10.10.200.14,9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,21361-21380,TR-1654,2VHJWM3,,,,,,,
A01410,74:86:e2:13:9d:ea,74:86:e2:13:9c:d7,10.10.14.10,10.10.200.14,10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,21381-21400,TR-1655,5TV8WM3,,,,,,,
A01411,74:86:e2:13:b2:f4,74:86:e2:13:b2:3c,10.10.14.11,10.10.200.14,11,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,21401-21420,TR-1646,5XHJWM3,Sent to DELL DEPO,GP-7804,GP-7805,GP-7806,GP-7807,Display issue,
A01412,74:86:e2:13:a2:05,74:86:e2:13:a1:64,10.10.14.12,10.10.200.14,42,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,21421-21440,TR-1647,GYR8WM3,,,,,,,
A01413,74:86:e2:13:b3:52,74:86:e2:13:b2:70,10.10.14.13,10.10.200.14,13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,21441-21460,TR-1648,5SHJWM3,,,,,,,
A01414,74:86:e2:13:92:0b,74:86:e2:13:91:5f,10.10.14.14,10.10.200.14,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,21461-21480,TR-1649,9XHJWM3,,,,,,,
A01415,74:86:e2:13:9c:7a,74:86:e2:13:9b:bf,10.10.14.15,10.10.200.14,15,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,21481-21500,TR-1650,BSV8WM3,,,,,,,
A01416,74:86:e2:13:62:4b,74:86:e2:13:61:da,10.10.14.16,10.10.200.14,46,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,21501-21520,TR-1585,FWHJWM3,,,,,,,
A01417,74:86:e2:13:b1:bd,74:86:e2:13:b1:0b,10.10.14.17,10.10.200.14,17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,21521-21540,TR-1584,4THJWM3,,,,,,,
A01418,74:86:e2:13:62:32,74:86:e2:13:61:d2,10.10.14.18,10.10.200.14,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,21541-21560,TR-1583,HWHJWM3,,,,,,,
A01419,74:86:e2:13:8b:ed,74:86:e2:13:8b:3e,10.10.14.19,10.10.200.14,19,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,21561-21580,TR-1582,78JJWM3,,,,,,,
A01420,74:86:e2:13:88:68,74:86:e2:13:87:c2,10.10.14.20,10.10.200.14,30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,21581-21600,TR-1581,77JJWM3,,,,,,,
